arrow_name,record_id,processing_date,tss_cutoff,log10frags_cutoff
ATAC_055,55650-0055,720,7,3.7
ATAC_057,55650-0057,720,7,3.5
ATAC_132D0,55650-0132,720,7,3.8
ATAC_52,55650-0052,720,8,3.7
ATAC_555_1,28205-0555d0,710,7,3.6
ATAC_555_2,28205-0555d2,710,7,3.8
ATAC_556,28205-0556,710,8,3.5
ATAC_557,28205-0557,710,6,3.5
ATAC_558,28205-0558,710,8,3.2
ATAC_559,28205-0559,710,7,3.2
ATAC_560,28205-0560,710,5,3.5
ATAC_564A,28205-0564d0,720,6,3.7
ATAC_564B,28205-0564d2,720,6,3.5
ATAC_66D0,55650-0066d,720,7,3.8
ATAC_66D7,55650-00667,720,8,3.6
ATAC_67,55650-0067,720,8,3.6
ATAC_83,55650-0083,720,6,3.7
ATAC_86,55650-0086,720,8,3.8
ATAC_EV08,EV08,720,6,3.8
ATAC_HIP02_frozen,HIP002,710,6,3.3
ATAC_HIP023_frozen,HIP023,710,10,3.8
ATAC_HIP043,HIP043,710,10,3.5
ATAC_HIP044,HIP044,710,8,3.3
ATAC_HIP045,HIP045,710,10,3.6
ATAC_HIP15_frozen,HIP015,710,8,3.5